UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
19067108,"D'Adamo P, Ulivi S, Beneduci A, Pontoni G, Capasso G, Lanzara C, Andrighetto G, Hladnik U, Nunes V, Palacin M, Gasparini P","2010","Jan","Metabonomics and population studies: age-related amino acids excretion and inferring networks through the study of urine samples in two Italian isolated populations.","D'Adamo P, Ulivi S, Beneduci A, Pontoni G, Capasso G, Lanzara C, Andrighetto G, Hladnik U, Nunes V, Palacin M, Gasparini P.Metabonomics and population studies: age-related amino acids excretion and inferring networks through the study of urine samples in two Italian isolated populations. Amino Acids. 2010 Jan; 38(1):65-73." 
19152489,"Saito K, Matsuda F","2010","","Metabolomics for functional genomics, systems biology, and biotechnology.","Saito K, Matsuda F.Metabolomics for functional genomics, systems biology, and biotechnology. Annu Rev Plant Biol. 2010; 61:463-89." 
19340605,"Ma Y, Liu W, Peng J, Huang L, Zhang P, Zhao X, Cheng Y, Qin H","2010","Mar","A pilot study of gas chromatograph/mass spectrometry-based serum metabolic profiling of colorectal cancer after operation.","Ma Y, Liu W, Peng J, Huang L, Zhang P, Zhao X, Cheng Y, Qin H.A pilot study of gas chromatograph/mass spectrometry-based serum metabolic profiling of colorectal cancer after operation. Mol Biol Rep. 2010 Mar; 37(3):1403-11." 
19397887,"Liebeke M, Wunder A, Lalk M","2010","Jun","A rapid microwave-assisted derivatization of bacterial metabolome samples for gas chromatography/mass spectrometry analysis.","Liebeke M, Wunder A, Lalk M.A rapid microwave-assisted derivatization of bacterial metabolome samples for gas chromatography/mass spectrometry analysis. Anal Biochem. 2010 Jun 15; 401(2):312-4." 
19399626,"Nordström A, Lewensohn R","2010","Mar","Metabolomics: moving to the clinic.","Nordström A, Lewensohn R.Metabolomics: moving to the clinic. J Neuroimmune Pharmacol. 2010 Mar; 5(1):4-17." 
19401681,"Yao JK, Dougherty GG Jr, Reddy RD, Keshavan MS, Montrose DM, Matson WR, Rozen S, Krishnan RR, McEvoy J, Kaddurah-Daouk R","2010","Sep","Altered interactions of tryptophan metabolites in first-episode neuroleptic-naive patients with schizophrenia.","Yao JK, Dougherty GG Jr, Reddy RD, Keshavan MS, Montrose DM, Matson WR, Rozen S, Krishnan RR, McEvoy J, Kaddurah-Daouk R.Altered interactions of tryptophan metabolites in first-episode neuroleptic-naive patients with schizophrenia. Mol Psychiatry. 2010 Sep; 15(9):938-53." 
19418229,"Go EP","2010","Mar","Database resources in metabolomics: an overview.","Go EP.Database resources in metabolomics: an overview. J Neuroimmune Pharmacol. 2010 Mar; 5(1):18-30." 
19418553,"Kenneke JF, Ekman DR, Mazur CS, Konwick BJ, Fisk AT, Avants JK, Garrison AW","2010","Feb","Integration of metabolomics and in vitro metabolism assays for investigating the stereoselective transformation of triadimefon in rainbow trout.","Kenneke JF, Ekman DR, Mazur CS, Konwick BJ, Fisk AT, Avants JK, Garrison AW.Integration of metabolomics and in vitro metabolism assays for investigating the stereoselective transformation of triadimefon in rainbow trout. Chirality. 2010 Feb; 22(2):183-92." 
19445528,"Bollard ME, Contel NR, Ebbels TM, Smith L, Beckonert O, Cantor GH, Lehman-McKeeman L, Holmes EC, Lindon JC, Nicholson JK, Keun HC","2010","Jan","NMR-based metabolic profiling identifies biomarkers of liver regeneration following partial hepatectomy in the rat.","Bollard ME, Contel NR, Ebbels TM, Smith L, Beckonert O, Cantor GH, Lehman-McKeeman L, Holmes EC, Lindon JC, Nicholson JK, Keun HC.NMR-based metabolic profiling identifies biomarkers of liver regeneration following partial hepatectomy in the rat. J Proteome Res. 2010 Jan; 9(1):59-69." 
19467817,"García-Cañas V, Simó C, León C, Cifuentes A","2010","Jan","Advances in Nutrigenomics research: novel and future analytical approaches to investigate the biological activity of natural compounds and food functions.","García-Cañas V, Simó C, León C, Cifuentes A.Advances in Nutrigenomics research: novel and future analytical approaches to investigate the biological activity of natural compounds and food functions. J Pharm Biomed Anal. 2010 Jan 20; 51(2):290-304." 
